"link","details","price","ImageURL"
"http://shirts4mike.com/shirt.php?id=106","Logo Shirt, Gray","$20","img/shirts/shirt-106.jpg"
"http://shirts4mike.com/shirt.php?id=108","Mike the Frog Shirt, Orange","$25","img/shirts/shirt-108.jpg"
"http://shirts4mike.com/shirt.php?id=102","Mike the Frog Shirt, Black","$20","img/shirts/shirt-102.jpg"
"http://shirts4mike.com/shirt.php?id=104","Logo Shirt, Green","$18","img/shirts/shirt-104.jpg"
"http://shirts4mike.com/shirt.php?id=107","Logo Shirt, Teal","$20","img/shirts/shirt-107.jpg"
"http://shirts4mike.com/shirt.php?id=101","Logo Shirt, Red","$18","img/shirts/shirt-101.jpg"
"http://shirts4mike.com/shirt.php?id=105","Mike the Frog Shirt, Yellow","$25","img/shirts/shirt-105.jpg"
"http://shirts4mike.com/shirt.php?id=103","Mike the Frog Shirt, Blue","$20","img/shirts/shirt-103.jpg"
